id,review_file1,category_file1,prediction_file1,review_file2,category_file2,prediction_file2,résultat
1,crashes playing rivals ill try queue rivals game ill able choose kit im loading youd usually see stadium turns black however youll get pop top left screen saying theyve readied point ui changes forcing restart game leading loss rivals amazing billionaire game issue going months,bug,bug,crashes playing rivals ill try queue rivals game ill able choose kit im loading youd usually see stadium turns black however youll get pop top left screen saying theyve readied point ui changes forcing restart game leading loss rivals amazing billionaire game issue going months,bug,bug,[1] Identique : bug
10,game freezing i play carreer mode whenever i finish game shows blanck screen background i really tired i tried many fixes nothing works,bug,bug,game freezing i play carreer mode whenever i finish game shows blanck screen background i really tired i tried many fixes nothing works,bug,bug,[10] Identique : bug
11,game loading changes joystick keyboard whetever wants game keeps black screen fc25 logo crashes dies times career mode training reason switches keyboard annoying i using generic controler 3rd party reads xbox controller plz help,bug,bug,game loading changes joystick keyboard whetever wants game keeps black screen fc25 logo crashes dies times career mode training reason switches keyboard annoying i using generic controler 3rd party reads xbox controller plz help,bug,bug,[11] Identique : bug
12,rush problem rush working always no teammates found,bug,bug,rush problem rush working always no teammates found,bug,bug,[12] Identique : bug
13,career mode saves delete as see title player manager career saves gone how i retrieve ? i tried check files consistency steam downloaded 3 additional files saves still gone anyone got either problem solution ?,bug,bug,career mode saves delete as see title player manager career saves gone how i retrieve ? i tried check files consistency steam downloaded 3 additional files saves still gone anyone got either problem solution ?,bug,bug,[13] Identique : bug
14,linux mint audio settings crash ? anyone else crash open audio settings game linux mint ? i specifically using mint 22 cinnamon 6 2 9 lmk info needed,bug,bug,linux mint audio settings crash ? anyone else crash open audio settings game linux mint ? i specifically using mint 22 cinnamon 6 2 9 lmk info needed,bug,bug,[14] Identique : bug
15,client timeout my friend i located east coast whenever i playing whether friends west coast hosts game game crashes get client timeout our west coast friends issue i know use separate internets games updated properly,bug,bug,client timeout my friend i located east coast whenever i playing whether friends west coast hosts game game crashes get client timeout our west coast friends issue i know use separate internets games updated properly,bug,bug,[15] Identique : bug
16,0 5 second freeze every minute kinda got something like second freeze play normally,bug,bug,0 5 second freeze every minute kinda got something like second freeze play normally,bug,bug,[16] Identique : bug
17,ultrawide 5120x1440 get past first screen first launch i 5120x1440 display alas leaves non-resizeable window fullscreen size sadly completely misaligned ui allow anything screen first video sequence also seems scale screen width instead height,bug,bug,ultrawide 5120x1440 get past first screen first launch i 5120x1440 display alas leaves non-resizeable window fullscreen size sadly completely misaligned ui allow anything screen first video sequence also seems scale screen width instead height,bug,bug,[17] Identique : bug
18,can type simplify chinese characters can type simplify chinese characters they became blank cube sadgemay solve someday ? sry poor english,bug,feature,can type simplify chinese characters can type simplify chinese characters they became blank cube sadgemay solve someday ? sry poor english,bug,feature,[18] Identique : feature
